Date,ConfirmDate,ConFreq,DisFreq,"Cumulative
#confirm","Cumulative
#discharge"
1/23/2020,23-Jan,1,0,1,0
1/24/2020,24-Jan,2,0,3,0
1/25/2020,25-Jan,0,0,3,0
1/26/2020,26-Jan,1,0,4,0
1/27/2020,27-Jan,1,0,5,0
1/28/2020,28-Jan,2,0,7,0
1/29/2020,29-Jan,3,0,10,0
1/30/2020,30-Jan,3,0,13,0
1/31/2020,31-Jan,3,0,16,0
2/1/2020,1-Feb,2,0,18,0
2/2/2020,2-Feb,0,0,18,0
2/3/2020,3-Feb,0,0,18,0
2/4/2020,4-Feb,6,1,24,1
2/5/2020,5-Feb,4,0,28,1
2/6/2020,6-Feb,2,1,30,2
2/7/2020,7-Feb,3,0,33,2
2/8/2020,8-Feb,7,0,40,2
2/9/2020,9-Feb,3,4,43,6
2/10/2020,10-Feb,2,1,45,7
2/11/2020,11-Feb,2,2,47,9
2/12/2020,12-Feb,3,6,50,15
2/13/2020,13-Feb,8,0,58,15
2/14/2020,14-Feb,9,2,67,17
2/15/2020,15-Feb,5,1,72,18
2/16/2020,16-Feb,3,1,75,19
2/17/2020,17-Feb,2,5,77,24
2/18/2020,18-Feb,4,5,81,29
2/19/2020,19-Feb,3,5,84,34
2/20/2020,20-Feb,1,3,85,37
2/21/2020,21-Feb,1,10,86,47
2/22/2020,22-Feb,4,2,90,49
2/23/2020,23-Feb,1,2,91,51
2/24/2020,24-Feb,0,2,91,53
2/25/2020,25-Feb,0,5,91,58
2/26/2020,26-Feb,2,4,93,62
2/27/2020,27-Feb,3,4,96,66
2/28/2020,28-Feb,2,3,98,69
2/29/2020,29-Feb,4,3,102,72
3/1/2020,1-Mar,4,2,106,74
3/2/2020,2-Mar,2,4,108,78
3/3/2020,3-Mar,2,0,110,78
3/4/2020,4-Mar,2,1,112,79
3/5/2020,5-Mar,5,2,117,81
3/6/2020,6-Mar,13,1,130,82
3/7/2020,7-Mar,8,8,138,90
3/8/2020,8-Mar,12,0,150,90
3/9/2020,9-Mar,10,3,160,93
3/10/2020,10-Mar,6,0,166,93
3/11/2020,11-Mar,12,3,178,96
3/12/2020,12-Mar,9,0,187,96
3/13/2020,13-Mar,13,1,200,97
3/14/2020,14-Mar,12,8,212,105
3/15/2020,15-Mar,14,0,226,105
3/16/2020,16-Mar,17,4,243,109
3/17/2020,17-Mar,44,5,287,114
3/18/2020,18-Mar,37,3,324,117
3/19/2020,19-Mar,39,7,363,124
3/20/2020,20-Mar,46,7,409,131
3/21/2020,21-Mar,41,9,450,140
3/22/2020,22-Mar,53,4,503,144
3/23/2020,23-Mar,27,8,530,152
3/24/2020,24-Mar,73,3,603,155
3/25/2020,25-Mar,57,5,660,160
3/26/2020,26-Mar,54,12,714,172
3/27/2020,27-Mar,69,11,783,183
3/28/2020,28-Mar,47,15,830,198
3/29/2020,29-Mar,37,14,867,212
3/30/2020,30-Mar,41,16,908,228
3/31/2020,31-Mar,58,12,966,240
4/1/2020,1-Apr,34,5,1000,245
